Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y,distance,pointinfo_index
Circle,PS_YSP,37494013.641,2394588.499,37494013.641,2394588.499,37494013.041,2394588.499,1.0,"c(37494013.341000006, 2394588.499)",37494013.341000006,2394588.499,359.30188708464016,
Circle,PS_YSP,37493944.308,2394442.93,37493944.308,2394442.93,37493943.708,2394442.93,1.0,"c(37493944.008, 2394442.93)",37493944.008,2394442.93,240.81112364325338,
Circle,PS_YSP,37494045.453,2394529.578,37494045.453,2394529.578,37494044.853,2394529.578,1.0,"c(37494045.153, 2394529.578)",37494045.153,2394529.578,369.82541204264624,
Circle,PS_YSP,37494173.888,2394530.288,37494173.888,2394530.288,37494173.288,2394530.288,1.0,"c(37494173.588, 2394530.288)",37494173.588,2394530.288,493.05136226326397,
Circle,PS_YSP,37494186.432,2394529.753,37494186.432,2394529.753,37494185.832,2394529.753,1.0,"c(37494186.132, 2394529.753)",37494186.132,2394529.753,508.7337665685467,
Circle,PS_YSP,37494170.342,2394471.346,37494170.342,2394471.346,37494169.742,2394471.346,1.0,"c(37494170.041999996, 2394471.346)",37494170.042,2394471.346,478.49977392335137,
Circle,PS_YSP,37494184.408,2394469.894,37494184.408,2394469.894,37494183.808,2394469.894,1.0,"c(37494184.107999995, 2394469.894)",37494184.108,2394469.894,501.1387049618036,
Circle,PS_YSP,37494226.855,2394283.423,37494226.855,2394283.423,37494226.255,2394283.423,1.0,"c(37494226.555, 2394283.423)",37494226.555,2394283.423,562.3310223287505,
Circle,PS_YSP,37494227.593,2394305.426,37494227.593,2394305.426,37494226.993,2394305.426,1.0,"c(37494227.293, 2394305.426)",37494227.293,2394305.426,548.5104628949061,
Circle,PS_YSP,37493288.292,2394647.666,37493288.292,2394647.666,37493287.692,2394647.666,1.0,"c(37493287.992, 2394647.666)",37493287.992,2394647.666,37.41824615010608,
Circle,PS_YSP,37494180.838,2394378.531,37494180.838,2394378.531,37494180.238,2394378.531,1.0,"c(37494180.538, 2394378.531)",37494180.538,2394378.531,953.6566708928916,
Circle,PS_YSP,37493715.312,2394374.425,37493715.312,2394374.425,37493714.712,2394374.425,1.0,"c(37493715.011999995, 2394374.425)",37493715.012,2394374.425,131.07525397681255,
Circle,PS_YSP,37494178.637,2394358.149,37494178.637,2394358.149,37494178.037,2394358.149,1.0,"c(37494178.337, 2394358.149)",37494178.337,2394358.149,509.45779679973975,
