Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,ORIG_FID,geometry
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8021,"c(37490249.239, 2398692.397)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8022,"c(37490253.973, 2398693.505)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8023,"c(37490262.337, 2398694.715)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8024,"c(37490244.578, 2398724.242)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8025,"c(37490248.196, 2398724.751)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8026,"c(37490260.333, 2398725.819)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8027,"c(37490694.9, 2397002.845)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8028,"c(37490696.375, 2397002.741)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8029,"c(37490700.685, 2396883.251)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8030,"c(37490695.74, 2396936.143)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8031,"c(37490696.425, 2396935.68)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8032,"c(37490701.42, 2396934.667)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8033,"c(37490696.265, 2396966.077)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8034,"c(37490696.074, 2396964.502)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8035,"c(37490701.576, 2396964.592)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8036,"c(37490696.517, 2397092.663)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8037,"c(37490702.935, 2397092.36)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8038,"c(37490700.382, 2397103.989)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8039,"c(37490676.152, 2397104.046)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8040,"c(37490676.07, 2397100.768)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8041,"c(37490675.989, 2397094.721)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8042,"c(37490656.118, 2397104.71)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8043,"c(37490656.186, 2397102.739)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8044,"c(37490655.732, 2397095.934)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8045,"c(37490316.118, 2398401.319)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8046,"c(37490298.302, 2398427.463)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8047,"c(37490302.62, 2398428.414)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8048,"c(37490311.013, 2398429.761)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8049,"c(37490317.38, 2398430.466)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8050,"c(37490292.778, 2398457.239)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8051,"c(37490297.24, 2398457.981)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8052,"c(37490305.636, 2398458.907)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8053,"c(37490287.558, 2398483.924)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8054,"c(37490292.35, 2398484.292)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8055,"c(37490284.18, 2398575.089)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8056,"c(37490265.307, 2398606.17)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8057,"c(37490269.807, 2398607.487)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8058,"c(37490278.06, 2398609.062)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8059,"c(37490260.475, 2398632.379)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8060,"c(37490264.999, 2398633.623)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8061,"c(37490276.706, 2398634.256)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8062,"c(37490255.078, 2398662.571)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8063,"c(37490259.488, 2398663.393)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8064,"c(37490702.69, 2397002.187)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8065,"c(37490695.623, 2397027.981)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8066,"c(37490695.449, 2397057.967)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8067,"c(37490696.827, 2397057.985)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8068,"c(37490702.282, 2397057.7)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8069,"c(37490695.643, 2396883.185)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8070,"c(37490626.051, 2397107.449)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8071,"c(37490625.694, 2397104.487)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8072,"c(37490624.53, 2397098.336)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8073,"c(37490625.846, 2397105.575)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8074,"c(37490624.774, 2397096.824)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8075,"c(37490597.36, 2397112.026)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8076,"c(37490596.769, 2397109.014)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8077,"c(37490595.775, 2397102.81)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8078,"c(37490536.936, 2397115.003)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8079,"c(37490507.172, 2397131.99)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8080,"c(37490506.613, 2397129.36)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8081,"c(37490505.167, 2397123.022)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8082,"c(37490506.798, 2397130.115)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8083,"c(37490504.978, 2397122.274)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8084,"c(37490478.369, 2397138.916)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8085,"c(37490477.791, 2397136.105)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8086,"c(37490476.441, 2397129.678)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8087,"c(37490478.219, 2397137.058)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8088,"c(37490445.676, 2397146.58)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8089,"c(37490444.972, 2397143.671)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8090,"c(37490443.171, 2397137.888)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8091,"c(37490445.369, 2397144.789)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8092,"c(37490442.95, 2397136.117)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8093,"c(37490417.184, 2397153.265)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8094,"c(37490416.376, 2397150.572)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8095,"c(37490414.7, 2397143.94)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8096,"c(37490414.431, 2397142.648)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8097,"c(37490325.544, 2397164.606)"
