Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_WSL,37493287.616,2394601.475,37493280.165,2394599.87,37493283.8905,2394600.6725,39.0
Insert,ArrowPS_WSL,37493283.2297,2394600.53015,37493283.2297,2394600.53015,37493284.1373,2394600.72566,39.0
Line,PS_WSL,37493279.986,2394578.915,37493280.165,2394599.87,37493280.0755,2394589.3925,40.0
Insert,ArrowPS_WSL,37493280.0813,2394590.06846,37493280.0813,2394590.06846,37493280.0733,2394589.14007,40.0
Line,PS_WSL,37493278.471,2394567.435,37493279.57,2394585.649,37493279.0205,2394576.542,41.0
Insert,ArrowPS_WSL,37493279.0612,2394577.21676,37493279.0612,2394577.21676,37493279.0053,2394576.29002,41.0
Line,PS_WSL,37493279.954,2394569.123,37493279.986,2394578.915,37493279.97,2394574.019,42.0
Insert,ArrowPS_WSL,37493279.9722,2394574.69498,37493279.9722,2394574.69498,37493279.9692,2394573.76656,42.0
Line,PS_WSL,37493280.401,2394564.877,37493279.954,2394569.123,37493280.1775,2394567.0,
Line,PS_WSL,37493279.728,2394565.482,37493278.471,2394567.435,37493279.0995,2394566.4585,
Line,PS_WSL,37493976.612,2394696.41,37493990.047,2394707.118,37493983.3295,2394701.764,43.0
Insert,ArrowPS_WSL,37493983.8581,2394702.18532,37493983.8581,2394702.18532,37493983.1321,2394701.60666,43.0
Line,PS_WSL,37493988.03,2394704.98,37493990.047,2394707.118,37493989.0385,2394706.049,
Line,PS_WSL,37493986.205,2394667.528,37493990.047,2394707.118,37493988.126,2394687.323,44.0
Insert,ArrowPS_WSL,37493988.1913,2394687.99582,37493988.1913,2394687.99582,37493988.1016,2394687.07174,44.0
Line,PS_WSL,37493746.743,2394431.872,37493729.647,2394433.537,37493738.195,2394432.7045,45.0
Insert,ArrowPS_WSL,37493737.5222,2394432.77002,37493737.5222,2394432.77002,37493738.4462,2394432.68003,45.0
Line,PS_WSL,37493778.582,2394395.238,37493779.475,2394388.567,37493779.0285,2394391.9025,46.0
Insert,ArrowPS_WSL,37493779.1182,2394391.23249,37493779.1182,2394391.23249,37493778.995,2394392.15271,46.0
Line,PS_WSL,37493779.475,2394388.567,37493809.302,2394388.696,37493794.3885,2394388.6315,47.0
Insert,ArrowPS_WSL,37493795.0645,2394388.63442,37493795.0645,2394388.63442,37493794.1361,2394388.63041,47.0
Line,PS_WSL,37493809.302,2394388.696,37493839.352,2394389.023,37493824.327,2394388.8595,48.0
Insert,ArrowPS_WSL,37493825.0029,2394388.86686,37493825.0029,2394388.86686,37493824.0746,2394388.85675,48.0
Line,PS_WSL,37493839.352,2394389.023,37493869.481,2394389.401,37493854.4165,2394389.212,49.0
Insert,ArrowPS_WSL,37493855.0924,2394389.22048,37493855.0924,2394389.22048,37493854.1641,2394389.20883,49.0
Line,PS_WSL,37493869.22,2394396.24,37493869.481,2394389.401,37493869.3505,2394392.8205,50.0
Insert,ArrowPS_WSL,37493869.3763,2394392.14501,37493869.3763,2394392.14501,37493869.3409,2394393.07275,50.0
Line,PS_WSL,37493869.779,2394370.73,37493869.481,2394389.401,37493869.63,2394380.0655,51.0
Insert,ArrowPS_WSL,37493869.6192,2394380.7414,37493869.6192,2394380.7414,37493869.634,2394379.8131,51.0
Line,PS_WSL,37493869.481,2394389.401,37493899.445,2394389.632,37493884.463,2394389.5165,52.0
Insert,ArrowPS_WSL,37493885.139,2394389.52171,37493885.139,2394389.52171,37493884.2106,2394389.51455,52.0
Line,PS_WSL,37493899.445,2394389.632,37493928.595,2394389.914,37493914.02,2394389.773,53.0
Insert,ArrowPS_WSL,37493914.696,2394389.77954,37493914.696,2394389.77954,37493913.7676,2394389.77056,53.0
Line,PS_WSL,37493928.595,2394389.914,37493927.996,2394411.048,37493928.2955,2394400.481,54.0
Insert,ArrowPS_WSL,37493928.2763,2394401.15671,37493928.2763,2394401.15671,37493928.3027,2394400.22866,54.0
Line,PS_WSL,37493922.475,2394430.702,37493933.846,2394430.853,37493928.1605,2394430.7775,55.0
Insert,ArrowPS_WSL,37493928.8364,2394430.78648,37493928.8364,2394430.78648,37493927.9081,2394430.77415,55.0
Line,PS_WSL,37493927.996,2394411.048,37493927.483,2394440.664,37493927.7395,2394425.856,56.0
Insert,ArrowPS_WSL,37493927.7278,2394426.53188,37493927.7278,2394426.53188,37493927.7439,2394425.6036,56.0
Line,PS_WSL,37493927.483,2394440.664,37493928.1,2394471.204,37493927.7915,2394455.934,57.0
Insert,ArrowPS_WSL,37493927.8052,2394456.60985,37493927.8052,2394456.60985,37493927.7864,2394455.68161,57.0
Line,PS_WSL,37493933.599,2394488.191,37493936.174,2394486.816,37493934.8865,2394487.5035,
Line,PS_WSL,37493928.1,2394471.204,37493936.174,2394486.816,37493932.137,2394479.01,58.0
Insert,ArrowPS_WSL,37493932.4475,2394479.61044,37493932.4475,2394479.61044,37493932.021,2394478.78577,58.0
Line,PS_WSL,37493054.918,2396236.343,37493054.866,2396205.202,37493054.892,2396220.7725,59.0
Insert,ArrowPS_WSL,37493054.8909,2396220.09652,37493054.8909,2396220.09652,37493054.8924,2396221.02494,59.0
Line,PS_WSL,37493036.056,2396351.972,37493054.871,2396353.396,37493045.4635,2396352.684,60.0
Insert,ArrowPS_WSL,37493046.1376,2396352.73502,37493046.1376,2396352.73502,37493045.2118,2396352.66495,60.0
Line,PS_WSL,37493054.931,2396360.155,37493054.871,2396353.396,37493054.901,2396356.7755,61.0
Insert,ArrowPS_WSL,37493054.895,2396356.09954,37493054.895,2396356.09954,37493054.9032,2396357.02793,61.0
Line,PS_WSL,37493055.058,2396367.075,37493054.931,2396360.155,37493054.9945,2396363.615,62.0
Insert,ArrowPS_WSL,37493054.9821,2396362.93913,37493054.9821,2396362.93913,37493054.9991,2396363.86739,62.0
Line,PS_WSL,37493399.294,2396276.174,37493394.581,2396275.286,37493396.9375,2396275.73,
Line,PS_WSL,37493390.992,2396273.05,37493391.058,2396290.305,37493391.025,2396281.6775,63.0
Insert,ArrowPS_WSL,37493391.0276,2396282.35348,37493391.0276,2396282.35348,37493391.024,2396281.42506,63.0
Line,PS_WSL,37493557.823,2396287.69,37493553.536,2396287.94,37493555.6795,2396287.815,
Line,PS_WSL,37494134.748,2395901.658,37494134.702,2395893.925,37494134.725,2395897.7915,64.0
Insert,ArrowPS_WSL,37494134.721,2395897.11553,37494134.721,2395897.11553,37494134.7265,2395898.04393,64.0
Line,PS_WSL,37493054.781,2395230.821,37493042.609,2395251.029,37493048.695,2395240.925,65.0
Insert,ArrowPS_WSL,37493048.3462,2395241.50405,37493048.3462,2395241.50405,37493048.8252,2395240.70876,65.0
Line,PS_WSL,37493075.034,2395250.919,37493042.609,2395251.029,37493058.8215,2395250.974,66.0
Insert,ArrowPS_WSL,37493058.1455,2395250.97629,37493058.1455,2395250.97629,37493059.0739,2395250.97314,66.0
Line,PS_WSL,37493042.609,2395251.029,37493040.835,2395275.141,37493041.722,2395263.085,67.0
Insert,ArrowPS_WSL,37493041.6724,2395263.75916,37493041.6724,2395263.75916,37493041.7405,2395262.83324,67.0
Line,PS_WSL,37493055.536,2395299.391,37493040.835,2395275.141,37493048.1855,2395287.266,68.0
Insert,ArrowPS_WSL,37493047.8351,2395286.68794,37493047.8351,2395286.68794,37493048.3164,2395287.48187,68.0
Line,PS_WSL,37493052.803,2395312.693,37493055.536,2395299.391,37493054.1695,2395306.042,69.0
Insert,ArrowPS_WSL,37493054.3055,2395305.37985,37493054.3055,2395305.37985,37493054.1187,2395306.28927,69.0
Line,PS_WSL,37493054.641,2395318.639,37493052.803,2395312.693,37493053.722,2395315.666,70.0
Insert,ArrowPS_WSL,37493053.5224,2395315.02017,37493053.5224,2395315.02017,37493053.7966,2395315.90718,70.0
Line,PS_WSL,37493054.808,2395359.725,37493054.641,2395318.639,37493054.7245,2395339.182,71.0
Insert,ArrowPS_WSL,37493054.7218,2395338.50602,37493054.7218,2395338.50602,37493054.7255,2395339.43444,71.0
Line,PS_WSL,37493399.599,2394864.683,37493399.715,2394895.114,37493399.657,2394879.8985,72.0
Insert,ArrowPS_WSL,37493399.6596,2394880.57448,37493399.6596,2394880.57448,37493399.656,2394879.64606,72.0
Line,PS_WSL,37493395.444,2394864.723,37493399.599,2394864.683,37493397.5215,2394864.703,
Line,PS_WSL,37493042.632,2396667.134,37493055.05,2396666.859,37493048.841,2396666.9965,73.0
Insert,ArrowPS_WSL,37493049.5168,2396666.98153,37493049.5168,2396666.98153,37493048.5886,2396667.00209,73.0
Line,PS_WSL,37492294.127,2395224.262,37492298.249,2395216.231,37492296.188,2395220.2465,74.0
Insert,ArrowPS_WSL,37492296.4967,2395219.64511,37492296.4967,2395219.64511,37492296.0727,2395220.47108,74.0
Line,PS_WSL,37492272.06,2395201.683,37492298.249,2395216.231,37492285.1545,2395208.957,75.0
Insert,ArrowPS_WSL,37492285.7454,2395209.28526,37492285.7454,2395209.28526,37492284.9338,2395208.83441,75.0
Line,PS_WSL,37492245.995,2395186.876,37492272.06,2395201.683,37492259.0275,2395194.2795,76.0
Insert,ArrowPS_WSL,37492259.6153,2395194.6134,37492259.6153,2395194.6134,37492258.808,2395194.15481,76.0
Line,PS_WSL,37492262.684,2395157.44,37492245.995,2395186.876,37492254.3395,2395172.158,77.0
Insert,ArrowPS_WSL,37492254.0061,2395172.74605,37492254.0061,2395172.74605,37492254.464,2395171.9384,77.0
Line,PS_WSL,37492244.442,2395189.566,37492245.995,2395186.876,37492245.2185,2395188.221,
Line,PS_WSL,37493336.77,2394903.886,37493367.378,2394903.898,37493352.074,2394903.892,78.0
Insert,ArrowPS_WSL,37493352.75,2394903.89227,37493352.75,2394903.89227,37493351.8216,2394903.8919,78.0
Line,PS_WSL,37493636.698,2396182.04,37493609.52,2396182.365,37493623.109,2396182.2025,79.0
Insert,ArrowPS_WSL,37493622.4331,2396182.21058,37493622.4331,2396182.21058,37493623.3614,2396182.19948,79.0
Line,PS_WSL,37493636.573,2396175.102,37493636.698,2396182.04,37493636.6355,2396178.571,80.0
