Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_HSL,37489426.768,2398317.905,37489427.064,2398345.15,37489426.916,2398331.5275,41.0
Insert,ArrowPS_HSL,37489426.9087,2398330.85156,37489426.9087,2398330.85156,37489426.9187,2398331.77992,41.0
Line,PS_HSL,37489427.064,2398345.15,37489427.174,2398358.418,37489427.119,2398351.784,42.0
Insert,ArrowPS_HSL,37489427.1134,2398351.10804,37489427.1134,2398351.10804,37489427.1211,2398352.03643,42.0
Line,PS_HSL,37489045.442,2399959.181,37489045.078,2399960.314,37489045.26,2399959.7475,
Line,PS_HSL,37489424.746,2398237.8086,37489426.54,2398237.734,37489425.643,2398237.7713,
Line,PS_HSL,37489406.528,2399148.46,37489406.09,2399149.396,37489406.309,2399148.928,
Line,PS_HSL,37489705.592,2399222.769,37489704.779,2399227.424,37489705.1855,2399225.0965,
Line,PS_HSL,37489709.937,2399225.794,37489704.779,2399227.424,37489707.358,2399226.609,43.0
Insert,ArrowPS_HSL,37489706.7134,2399226.81269,37489706.7134,2399226.81269,37489707.5987,2399226.53293,43.0
Line,PS_HSL,37489700.175,2399227.779,37489704.779,2399227.424,37489702.477,2399227.6015,
Line,PS_HSL,37489671.677,2399138.871,37489673.998,2399142.09,37489672.8375,2399140.4805,
Line,PS_HSL,37489673.998,2399142.09,37489684.429,2399134.427,37489679.2135,2399138.2585,44.0
Insert,ArrowPS_HSL,37489679.7583,2399137.85829,37489679.7583,2399137.85829,37489679.0101,2399138.40795,44.0
Line,PS_HSL,37489685.106,2399135.305,37489684.429,2399134.427,37489684.7675,2399134.866,
Line,PS_HSL,37489684.429,2399134.427,37489716.603,2399108.583,37489700.516,2399121.505,45.0
Insert,ArrowPS_HSL,37489701.043,2399121.08167,37489701.043,2399121.08167,37489700.3192,2399121.66309,45.0
Line,PS_HSL,37489716.603,2399108.583,37489723.248,2399102.836,37489719.9255,2399105.7095,46.0
Insert,ArrowPS_HSL,37489720.4368,2399105.26731,37489720.4368,2399105.26731,37489719.7346,2399105.87463,46.0
Line,PS_HSL,37489723.248,2399102.836,37489727.813,2399097.209,37489725.5305,2399100.0225,47.0
Insert,ArrowPS_HSL,37489725.9564,2399099.49754,37489725.9564,2399099.49754,37489725.3715,2399100.21854,47.0
Line,PS_HSL,37489727.813,2399097.209,37489724.057,2399093.278,37489725.935,2399095.2435,48.0
Insert,ArrowPS_HSL,37489725.468,2399094.75475,37489725.468,2399094.75475,37489726.1094,2399095.42602,48.0
Line,PS_HSL,37489719.964,2399094.564,37489724.057,2399093.278,37489722.0105,2399093.921,
Line,PS_HSL,37489559.295,2399208.237,37489546.94,2399196.983,37489553.1175,2399202.61,49.0
Insert,ArrowPS_HSL,37489552.6178,2399202.15479,37489552.6178,2399202.15479,37489553.3041,2399202.77999,49.0
Line,PS_HSL,37489547.892,2399195.1,37489546.94,2399196.983,37489547.416,2399196.0415,
Line,PS_HSL,37489544.398,2399201.877,37489546.94,2399196.983,37489545.669,2399199.43,50.0
Insert,ArrowPS_HSL,37489545.9806,2399198.83011,37489545.9806,2399198.83011,37489545.5526,2399199.65402,50.0
Line,PS_HSL,37489560.647,2399206.81,37489559.295,2399208.237,37489559.971,2399207.5235,
Line,PS_HSL,37489555.572,2399212.371,37489559.295,2399208.237,37489557.4335,2399210.304,51.0
Insert,ArrowPS_HSL,37489557.8859,2399209.80169,37489557.8859,2399209.80169,37489557.2646,2399210.49158,51.0
Line,PS_HSL,37489564.355,2399214.276,37489562.884,2399215.658,37489563.6195,2399214.967,
Line,PS_HSL,37489560.899,2399217.495,37489562.884,2399215.658,37489561.8915,2399216.5765,
Line,PS_HSL,37489573.983,2399226.833,37489571.719,2399228.126,37489572.851,2399227.4795,
Line,PS_HSL,37489569.952,2399229.004,37489571.719,2399228.126,37489570.8355,2399228.565,
Line,PS_HSL,37489562.884,2399215.658,37489571.719,2399228.126,37489567.3015,2399221.892,52.0
