Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_WSL,37493922.48,2394430.702,37493933.85,2394430.853,93928.16,2394430.778,55.0,WS_63,YS_142,0.0,0.0,0,0,0.5,Ì≈  DN400,42711.0,Ì≈,DN,400
Line,PS_WSL,37493928.0,2394411.048,37493927.48,2394440.664,93927.74,2394425.856,56.0,WS_45,WS_64,0.0,0.0,0,0,0.5,Ì≈  DN500,42712.0,Ì≈,DN,500
Line,PS_WSL,37493927.48,2394440.664,37493928.1,2394471.204,93927.79,2394455.934,57.0,WS_64,WS_65,0.0,0.0,0,0,0.5,Ì≈  DN500,42713.0,Ì≈,DN,500
Line,PS_WSL,37493928.1,2394471.204,37493936.17,2394486.816,93932.14,2394479.01,58.0,WS_65,WS_66,0.0,0.0,0,0,0.5,Ì≈  DN500,42714.0,Ì≈,DN,500
Line,PS_WSL,37493054.92,2396236.343,37493054.87,2396205.202,93054.89,2396220.773,59.0,YS_1945,HS_117,0.0,0.0,0,0,0.5,Ì≈  DN800,42715.0,Ì≈,DN,800
Line,PS_WSL,37493036.06,2396351.972,37493054.87,2396353.396,93045.46,2396352.684,60.0,WS_6461,WS_1086,7.45e-09,0.0,0,0,0.5,Ì≈  DN400,42716.0,Ì≈,DN,400
Line,PS_WSL,37493054.93,2396360.155,37493054.87,2396353.396,93054.9,2396356.776,61.0,WS_592,WS_1086,0.0,0.0,0,0,0.5,Ì≈  DN800,42717.0,Ì≈,DN,800
Line,PS_WSL,37493055.06,2396367.075,37493054.93,2396360.155,93054.99,2396363.615,62.0,WS_243,WS_592,0.0,0.0,0,0,0.5,Ì≈  DN800,42718.0,Ì≈,DN,800
Line,PS_WSL,37493390.99,2396273.05,37493391.06,2396290.305,93391.03,2396281.678,63.0,WS_1017,WS_831,0.0,0.0,0,0,0.5,Ì≈  DN500,42719.0,Ì≈,DN,500
Line,PS_WSL,37494134.75,2395901.658,37494134.7,2395893.925,94134.73,2395897.792,64.0,WS_6559,WS_899,7.45e-09,0.0,0,0,0.5,Ì≈  DN400,42720.0,Ì≈,DN,400
Line,PS_WSL,37493054.78,2395230.821,37493042.61,2395251.029,93048.7,2395240.925,65.0,WS_527,WS_254,0.0,0.0,0,0,0.5,Ì≈  DN600,42721.0,Ì≈,DN,600
Line,PS_WSL,37493075.03,2395250.919,37493042.61,2395251.029,93058.82,2395250.974,66.0,WS_1089,WS_254,0.0,0.0,0,0,0.5,Ì≈  DN800,42722.0,Ì≈,DN,800
Line,PS_WSL,37493042.61,2395251.029,37493040.84,2395275.141,93041.72,2395263.085,67.0,WS_254,WS_255,0.0,0.0,0,0,0.5,Ì≈  DN800,42723.0,Ì≈,DN,800
Line,PS_WSL,37493055.54,2395299.391,37493040.84,2395275.141,93048.19,2395287.266,68.0,WS_294,WS_255,0.0,0.0,0,0,0.5,Ì≈  DN800,42724.0,Ì≈,DN,800
Line,PS_WSL,37493052.8,2395312.693,37493055.54,2395299.391,93054.17,2395306.042,69.0,WS_295,WS_294,0.0,0.0,0,0,0.5,Ì≈  DN800,42725.0,Ì≈,DN,800
Line,PS_WSL,37493054.64,2395318.639,37493052.8,2395312.693,93053.72,2395315.666,70.0,WS_152,WS_295,0.0,0.0,0,0,0.5,Ì≈  DN800,42726.0,Ì≈,DN,800
Line,PS_WSL,37493054.81,2395359.725,37493054.64,2395318.639,93054.72,2395339.182,71.0,WS_153,WS_152,0.0,0.0,0,0,0.5,Ì≈  DN800,42727.0,Ì≈,DN,800
Line,PS_WSL,37493399.6,2394864.683,37493399.72,2394895.114,93399.66,2394879.899,72.0,WS_206,WS_743,0.0,0.0,0,0,0.5,Ì≈  DN400,42728.0,Ì≈,DN,400
Line,PS_WSL,37493042.63,2396667.134,37493055.05,2396666.859,93048.84,2396666.997,73.0,WS_6664,WS_1154,0.0,0.0,0,0,0.5,Ì≈  DN300,42729.0,Ì≈,DN,300
Line,PS_WSL,37492294.13,2395224.262,37492298.25,2395216.231,92296.19,2395220.247,74.0,WS_734,WS_733,0.0,0.0,0,0,0.5,Ì≈  DN400,42730.0,Ì≈,DN,400
Line,PS_WSL,37492272.06,2395201.683,37492298.25,2395216.231,92285.15,2395208.957,75.0,WS_735,WS_733,0.0,0.0,0,0,0.5,Ì≈  DN600,42731.0,Ì≈,DN,600
Line,PS_WSL,37492246.0,2395186.876,37492272.06,2395201.683,92259.03,2395194.28,76.0,WS_736,WS_735,0.0,0.0,0,0,0.5,Ì≈  DN600,42732.0,Ì≈,DN,600
Line,PS_WSL,37492262.68,2395157.44,37492246.0,2395186.876,92254.34,2395172.158,77.0,WS_737,WS_736,0.0,0.0,0,0,0.5,Ì≈  DN400,42733.0,Ì≈,DN,400
Line,PS_WSL,37493336.77,2394903.886,37493367.38,2394903.898,93352.07,2394903.892,78.0,WS_920,WS_745,0.0,0.0,0,0,0.5,Ì≈  DN400,42734.0,Ì≈,DN,400
Line,PS_WSL,37493636.7,2396182.04,37493609.52,2396182.365,93623.11,2396182.203,79.0,WS_439,WS_174,0.0,0.0,0,0,0.5,Ì≈  DN400,42735.0,Ì≈,DN,400
Line,PS_WSL,37493636.57,2396175.102,37493636.7,2396182.04,93636.64,2396178.571,80.0,WS_259,WS_439,0.0,0.0,0,0,0.5,Ì≈  DN300,42736.0,Ì≈,DN,300
Line,PS_WSL,37493119.96,2396606.973,37493082.74,2396606.871,93101.35,2396606.922,81.0,WS_649,WS_1132,0.0,0.0,0,0,0.5,Ì≈  DN300,42737.0,Ì≈,DN,300
Line,PS_WSL,37493093.17,2395139.438,37493054.64,2395140.775,93073.91,2395140.107,82.0,WS_539,WS_88,0.0,0.0,0,0,0.5,Ì≈  DN500,42738.0,Ì≈,DN,500
Line,PS_WSL,37493385.11,2396203.496,37493391.38,2396203.543,93388.24,2396203.52,83.0,WS_6487,WS_994,7.45e-09,0.0,0,0,0.5,Ì≈  DN300,42739.0,Ì≈,DN,300
Line,PS_WSL,37491556.16,2395275.283,37491526.12,2395275.457,91541.14,2395275.37,84.0,WS_1464,WS_1439,0.0,0.0,0,0,0.5,Ì≈  DN1200,42740.0,Ì≈,DN,1200
