Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_YSL,37493287.99,2394647.666,37493277.33,2394647.792,37493282.66,2394647.729,63,YS_17005,YS_39,0,0,0,0
Line,PS_YSL,37493281.88,2394629.446,37493277.25,2394627.263,37493279.57,2394628.355,64,YS_76,YS_85,0,0,0,0
Line,PS_YSL,37493281.92,2394610.809,37493277.25,2394627.263,37493279.58,2394619.036,65,YS_121,YS_85,0,0,0,0
Line,PS_YSL,37493278.37,2394595.401,37493277.25,2394627.263,37493277.81,2394611.332,66,YS_122,YS_85,0,0,0,0
Line,PS_YSL,37493281.91,2394593.994,37493278.37,2394595.401,37493280.14,2394594.698,,YS_123,YS_122,0,0,0,0
Line,PS_YSL,37493278.34,2394580.629,37493278.37,2394595.401,37493278.35,2394588.015,67,YS_124,YS_122,0,0,0,0
Line,PS_YSL,37493284.06,2394565.947,37493278.34,2394580.629,37493281.2,2394573.288,68,YS_17022,YS_124,7.45E-09,0,0,0
Line,PS_YSL,37493277.63,2394566.093,37493278.34,2394580.629,37493277.98,2394573.361,69,YS_206,YS_124,0,0,0,0
Line,PS_YSL,37493286.92,2394591.864,37493278.34,2394580.629,37493282.63,2394586.247,70,YS_17021,YS_124,7.45E-09,0,0,0
Line,PS_YSL,37493286.62,2394581.386,37493278.34,2394580.629,37493282.48,2394581.008,71,YS_17020,YS_124,0,0,0,0
Line,PS_YSL,37493283.19,2394579.723,37493278.34,2394580.629,37493280.77,2394580.176,,YS_205,YS_124,0,0,0,0
Line,PS_YSL,37493277.63,2394565.056,37493277.63,2394566.093,37493277.63,2394565.575,,YS_17023,YS_206,0,0,0,0
Line,PS_YSL,37494027.51,2394661.839,37494027.08,2394712.586,37494027.29,2394687.213,72,YS_217,YS_238,0,0,0,0
Line,PS_YSL,37494029.8,2394676.113,37494027.08,2394712.586,37494028.44,2394694.35,73,YS_239,YS_238,0,0,0,0
Line,PS_YSL,37494033.3,2394673.112,37494029.8,2394676.113,37494031.55,2394674.613,,YS_218,YS_239,0,0,0,0
Line,PS_YSL,37493675.89,2394682.978,37493716.51,2394683.054,37493696.2,2394683.016,74,YS_195,YS_176,0,0,0,0
Line,PS_YSL,37493717.03,2394657.174,37493716.51,2394683.054,37493716.77,2394670.114,75,YS_98,YS_176,0,0,0,0
Line,PS_YSL,37493719.29,2394682.968,37493716.51,2394683.054,37493717.9,2394683.011,,YS_97,YS_176,0,0,0,0
Line,PS_YSL,37493716.51,2394653.166,37493717.03,2394657.174,37493716.77,2394655.17,,YS_20,YS_98,0,0,0,0
Line,PS_YSL,37493676.81,2394653.299,37493716.51,2394653.166,37493696.66,2394653.233,76,YS_64,YS_20,0,0,0,0
Line,PS_YSL,37493718.34,2394653.174,37493716.51,2394653.166,37493717.43,2394653.17,,YS_21,YS_20,0,0,0,0
Line,PS_YSL,37493716.6,2394623.115,37493716.51,2394653.166,37493716.55,2394638.141,77,YS_24,YS_20,0,0,0,0
Line,PS_YSL,37490841.01,2398195.562,37490841.01,2398194.433,37490841.01,2398194.998,,YS_10860,YS_7345,0,0,0,0
Line,PS_YSL,37491057.03,2397282.398,37491058.29,2397282.425,37491057.66,2397282.412,,YS_10806,YS_10805,0,0,0,0
Line,PS_YSL,37491074.4,2397282.512,37491058.29,2397282.425,37491066.35,2397282.469,78,YS_10802,YS_10805,0,0,0,0
Line,PS_YSL,37491074.2,2397297.24,37491058.25,2397297.418,37491066.23,2397297.329,79,YS_10748,YS_8541,0,0,0,0
Line,PS_YSL,37491060.4,2397327.212,37491058.3,2397327.144,37491059.35,2397327.178,,YS_10760,YS_10810,0,0,0,0
Line,PS_YSL,37491057.27,2397327.144,37491058.3,2397327.144,37491057.78,2397327.144,,YS_10761,YS_10810,0,0,0,0
Line,PS_YSL,37491074.22,2397327.277,37491058.3,2397327.144,37491066.26,2397327.211,80,YS_8698,YS_10810,0,0,0,0
Line,PS_YSL,37491059.01,2397356.979,37491058.29,2397357.06,37491058.65,2397357.02,,YS_10808,YS_8583,0,0,0,0
Line,PS_YSL,37491057.38,2397356.979,37491058.29,2397357.06,37491057.83,2397357.02,,YS_10809,YS_8583,0,0,0,0
Line,PS_YSL,37491059.61,2397297.392,37491058.25,2397297.418,37491058.93,2397297.405,,YS_10762,YS_8541,0,0,0,0
Line,PS_YSL,37491056.87,2397297.403,37491058.25,2397297.418,37491057.56,2397297.411,,YS_10763,YS_8541,0,0,0,0
Line,PS_YSL,37491075.49,2397230.954,37491074.27,2397230.923,37491074.88,2397230.939,,YS_10765,YS_10764,0,0,0,0
Line,PS_YSL,37491073.02,2397230.984,37491074.27,2397230.923,37491073.64,2397230.954,,YS_10766,YS_10764,0,0,0,0
Line,PS_YSL,37491074.27,2397230.923,37491058.28,2397230.952,37491066.28,2397230.938,81,YS_10764,YS_8536,0,0,0,0
Line,PS_YSL,37491075.51,2397187.667,37491074.54,2397187.618,37491075.03,2397187.643,,YS_10769,YS_10767,0,0,0,0
Line,PS_YSL,37491072.75,2397187.655,37491074.54,2397187.618,37491073.65,2397187.637,,YS_10768,YS_10767,0,0,0,0
Line,PS_YSL,37491059.34,2397187.726,37491058.42,2397187.472,37491058.88,2397187.599,,YS_10813,YS_10811,0,0,0,0
Line,PS_YSL,37492435.02,2398292.653,37492453.26,2398268.576,37492444.14,2398280.615,82,YS_10662,YS_526,0,0,0,0
Line,PS_YSL,37492453.26,2398268.576,37492473,2398242.628,37492463.13,2398255.602,83,YS_526,YS_10663,0,0,0,0
Line,PS_YSL,37492477,2398240.875,37492473,2398242.628,37492475,2398241.752,,YS_527,YS_10663,0,0,0,0
Line,PS_YSL,37493051.13,2396897.758,37493081.27,2396902.934,37493066.2,2396900.346,84,YS_1394,YS_9545,0,0,0,0
Line,PS_YSL,37493075.47,2397022.222,37493080.94,2397022.947,37493078.2,2397022.585,85,YS_17327,YS_9484,0,0,0,0
Line,PS_YSL,37493933.85,2394430.853,37493933.81,2394460.353,37493933.83,2394445.603,86,YS_142,YS_8,0,0,0,0
Line,PS_YSL,37493927.02,2394459.701,37493933.81,2394460.353,37493930.41,2394460.027,87,YS_10,YS_8,0,0,0,0
Line,PS_YSL,37493933.81,2394460.353,37493935.26,2394478.029,37493934.53,2394469.191,88,YS_8,YS_12,0,0,0,0
Line,PS_YSL,37493929.9,2394481.451,37493935.26,2394478.029,37493932.58,2394479.74,89,YS_11,YS_12,0,0,0,0
Line,PS_YSL,37493936.58,2394477.531,37493935.26,2394478.029,37493935.92,2394477.78,,YS_16952,YS_12,0,0,0,0
Line,PS_YSL,37493946.61,2394491.612,37493946.64,2394484.929,37493946.62,2394488.271,90,YS_16,YS_17,0,0,0,0
Line,PS_YSL,37493398.18,2397492.735,37493395.6,2397473.346,37493396.89,2397483.041,91,YS_17067,YS_9086,0,0,0,0
Line,PS_YSL,37494233.34,2395968.211,37494231.82,2395967.426,37494232.58,2395967.819,,YS_879,YS_880,0,0,0,0
Line,PS_YSL,37494228.91,2395997.587,37494231.82,2395967.426,37494230.37,2395982.507,92,YS_878,YS_880,0,0,0,0
Line,PS_YSL,37494231.82,2395967.426,37494234.78,2395937.755,37494233.3,2395952.591,93,YS_880,YS_881,0,0,0,0
Line,PS_YSL,37494242.59,2395878.81,37494240.43,2395878.298,37494241.51,2395878.554,,YS_882,YS_883,0,0,0,0
Line,PS_YSL,37494234.78,2395937.755,37494240.43,2395878.298,37494237.61,2395908.027,94,YS_881,YS_883,0,0,0,0
Line,PS_YSL,37494199.69,2395862.901,37494199.69,2395864.314,37494199.69,2395863.608,,YS_842,YS_841,0,0,0,0
Line,PS_YSL,37493051.37,2396236.662,37493054.92,2396236.343,37493053.14,2396236.503,,YS_1946,YS_1945,0,0,0,0
Line,PS_YSL,37493050.95,2396298.499,37493054.76,2396298.758,37493052.85,2396298.629,,YS_1598,YS_1889,0,0,0,0
Line,PS_YSL,37493080.24,2396339.909,37493057.61,2396362.806,37493068.92,2396351.358,95,YS_17202,YS_506,0,0,0,0
Line,PS_YSL,37490919.5,2394925.267,37490919.56,2394929.025,37490919.53,2394927.146,,YS_3593,YS_3592,0,0,0,0
Line,PS_YSL,37493394.58,2396275.289,37493395.35,2396293.583,37493394.96,2396284.436,96,YS_2083,YS_2080,0,0,0,0
Line,PS_YSL,37493392.86,2396277.467,37493394.58,2396275.289,37493393.72,2396276.378,,YS_2082,YS_2083,0,0,0,0
Line,PS_YSL,37494181.57,2396859.862,37494182.22,2396859.352,37494181.9,2396859.607,,YS_3141,YS_2835,0,0,0,0
Line,PS_YSL,37493392.87,2396243.077,37493393.98,2396240.505,37493393.43,2396241.791,,YS_2086,YS_2087,0,0,0,0
Line,PS_YSL,37493396.51,2396242.768,37493393.98,2396240.505,37493395.25,2396241.637,,YS_17447,YS_2087,0,0,0,0
Line,PS_YSL,37494268.44,2394976.249,37494270.99,2394976.19,37494269.71,2394976.22,,YS_1048,YS_1435,0,0,0,0
Line,PS_YSL,37494270.99,2395010.209,37494273.36,2395010.064,37494272.17,2395010.137,,YS_1373,YS_17317,0,0,0,0
Line,PS_YSL,37494270.99,2394976.19,37494273.36,2395010.064,37494272.17,2394993.127,97,YS_1435,YS_17317,0,0,0,0
Line,PS_YSL,37494273.36,2395010.064,37494275.13,2395040.607,37494274.25,2395025.336,98,YS_17317,YS_1374,0,0,0,0
Line,PS_YSL,37494272.96,2395040.765,37494275.13,2395040.607,37494274.04,2395040.686,,YS_602,YS_1374,0,0,0,0
Line,PS_YSL,37493384.29,2395420.838,37493384.21,2395423.124,37493384.25,2395421.981,,YS_2192,YS_2191,0,0,0,0
Line,PS_YSL,37490414.31,2395650.573,37490384.89,2395651.408,37490399.6,2395650.991,99,YS_4435,YS_4436,0,0,0,0
Line,PS_YSL,37493497.8,2395277.318,37493498.1,2395263.448,37493497.95,2395270.383,100,YS_990,YS_2155,0,0,0,0
Line,PS_YSL,37493498.06,2395261.734,37493498.1,2395263.448,37493498.08,2395262.591,,YS_2156,YS_2155,0,0,0,0
Line,PS_YSL,37493498.1,2395263.448,37493528.48,2395263.476,37493513.29,2395263.462,101,YS_2155,YS_2157,0,0,0,0
Line,PS_YSL,37493528.26,2395277.259,37493528.48,2395263.476,37493528.37,2395270.368,102,YS_991,YS_2157,0,0,0,0
Line,PS_YSL,37493528.62,2395261.729,37493528.48,2395263.476,37493528.55,2395262.603,,YS_2158,YS_2157,0,0,0,0
Line,PS_YSL,37492445.21,2396037.215,37492430.49,2396037.053,37492437.85,2396037.134,103,YS_17562,YS_582,0,0,0,0
