Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_HSL,37489592.13,2396977.172,37489589.96,2396981.762,89591.04,2396979.467,354.0,HS_563,HS_554,0.0,0.0,0,0,0.5,PVC  DN400,51771.0,PVC,DN,400
Line,PS_HSL,37489585.74,2396976.863,37489592.13,2396977.172,89588.94,2396977.018,355.0,HS_921,HS_563,7.45e-09,0.0,0,0,0.5,PVC  DN400,51772.0,PVC,DN,400
Line,PS_HSL,37489580.75,2396975.807,37489585.74,2396976.863,89583.24,2396976.335,356.0,HS_922,HS_921,0.0,7.45e-09,0,0,0.5,PVC  DN400,51773.0,PVC,DN,400
Line,PS_HSL,37489583.12,2396986.505,37489584.24,2396980.816,89583.68,2396983.661,357.0,HS_923,HS_522,0.0,0.0,0,0,0.5,PVC  DN300,51774.0,PVC,DN,300
Line,PS_HSL,37489584.24,2396980.816,37489572.02,2396979.588,89578.13,2396980.202,358.0,HS_522,HS_525,0.0,0.0,0,0,0.5,Ì≈  DN600,51775.0,Ì≈,DN,600
Line,PS_HSL,37489574.96,2396984.846,37489572.02,2396979.588,89573.49,2396982.217,359.0,HS_523,HS_525,0.0,0.0,0,0,0.5,PVC  DN300,51776.0,PVC,DN,300
Line,PS_HSL,37489572.02,2396979.588,37489541.79,2396975.802,89556.91,2396977.695,360.0,HS_525,HS_528,0.0,0.0,0,0,0.5,Ì≈  DN600,51777.0,Ì≈,DN,600
Line,PS_HSL,37489541.79,2396975.802,37489511.67,2396971.65,89526.73,2396973.726,361.0,HS_528,HS_566,0.0,0.0,0,0,0.5,Ì≈  DN600,51778.0,Ì≈,DN,600
Line,PS_HSL,37489511.67,2396971.65,37489475.81,2396966.997,89493.74,2396969.324,362.0,HS_566,HS_569,0.0,0.0,0,0,0.5,Ì≈  DN600,51779.0,Ì≈,DN,600
Line,PS_HSL,37489759.56,2398194.018,37489759.76,2398210.427,89759.66,2398202.223,363.0,HS_570,HS_609,0.0,0.0,0,0,0.5,Ì≈  DN300,51780.0,Ì≈,DN,300
Line,PS_HSL,37489784.37,2398193.926,37489784.72,2398210.418,89784.55,2398202.172,364.0,HS_571,HS_614,0.0,0.0,0,0,0.5,Ì≈  DN300,51781.0,Ì≈,DN,300
Line,PS_HSL,37489701.04,2398193.86,37489699.58,2398210.374,89700.31,2398202.117,365.0,HS_572,HS_604,0.0,0.0,0,0,0.5,Ì≈  DN300,51782.0,Ì≈,DN,300
Line,PS_HSL,37489679.38,2398193.912,37489678.5,2398210.359,89678.94,2398202.136,366.0,HS_573,HS_602,0.0,0.0,0,0,0.5,Ì≈  DN300,51783.0,Ì≈,DN,300
Line,PS_HSL,37489668.54,2398193.914,37489679.38,2398193.912,89673.96,2398193.913,367.0,HS_574,HS_573,0.0,0.0,0,0,0.5,PVC  DN100,51784.0,PVC,DN,100
Line,PS_HSL,37489647.5,2398193.891,37489647.48,2398210.367,89647.49,2398202.129,368.0,HS_575,HS_600,0.0,0.0,0,0,0.5,Ì≈  DN200,51785.0,Ì≈,DN,200
Line,PS_HSL,37489594.1,2398193.95,37489575.79,2398193.975,89584.95,2398193.963,369.0,HS_576,HS_577,0.0,0.0,0,0,0.5,PVC  DN100,51786.0,PVC,DN,100
