Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_HSL,37489457.71,2396483.692,37489443.02,2396485.097,37489450.37,2396484.395,38,HS_218,HS_5672,0,0,0,0
Line,PS_HSL,37489258.68,2396098.506,37489259.89,2396088.097,37489259.29,2396093.302,39,HS_671,HS_4929,0,0,0,0
Line,PS_HSL,37489426.46,2398253.69,37489430.66,2398254.049,37489428.56,2398253.87,,HS_43,HS_880,0,7.45E-09,0,0
Line,PS_HSL,37489426.7,2398288.884,37489426.77,2398317.905,37489426.73,2398303.395,40,HS_44,HS_45,0,0,0,0
Line,PS_HSL,37489426.77,2398317.905,37489427.06,2398345.15,37489426.92,2398331.528,41,HS_45,HS_46,0,0,0,0
Line,PS_HSL,37489427.06,2398345.15,37489427.17,2398358.418,37489427.12,2398351.784,42,HS_46,HS_204,0,0,0,0
Line,PS_HSL,37489045.44,2399959.181,37489045.08,2399960.314,37489045.26,2399959.748,,HS_47,HS_182,0,0,0,0
Line,PS_HSL,37489424.75,2398237.809,37489426.54,2398237.734,37489425.64,2398237.771,,HS_758,HS_60,0,0,0,0
Line,PS_HSL,37489406.53,2399148.46,37489406.09,2399149.396,37489406.31,2399148.928,,HS_761,HS_3,0,0,0,0
Line,PS_HSL,37489705.59,2399222.769,37489704.78,2399227.424,37489705.19,2399225.097,,HS_762,HS_37,0,0,0,0
Line,PS_HSL,37489709.94,2399225.794,37489704.78,2399227.424,37489707.36,2399226.609,43,HS_763,HS_37,7.45E-09,0,0,0
Line,PS_HSL,37489700.18,2399227.779,37489704.78,2399227.424,37489702.48,2399227.602,,HS_731,HS_37,0,0,0,0
Line,PS_HSL,37489671.68,2399138.871,37489674,2399142.09,37489672.84,2399140.481,,HS_735,HS_1,0,0,0,0
Line,PS_HSL,37489674,2399142.09,37489684.43,2399134.427,37489679.21,2399138.259,44,HS_1,HS_2,0,0,0,0
Line,PS_HSL,37489685.11,2399135.305,37489684.43,2399134.427,37489684.77,2399134.866,,HS_736,HS_2,7.45E-09,0,0,0
Line,PS_HSL,37489684.43,2399134.427,37489716.6,2399108.583,37489700.52,2399121.505,45,HS_2,HS_4,0,0,0,0
Line,PS_HSL,37489716.6,2399108.583,37489723.25,2399102.836,37489719.93,2399105.71,46,HS_4,HS_5,0,0,0,0
Line,PS_HSL,37489723.25,2399102.836,37489727.81,2399097.209,37489725.53,2399100.023,47,HS_5,HS_48,0,0,0,0
Line,PS_HSL,37489727.81,2399097.209,37489724.06,2399093.278,37489725.94,2399095.244,48,HS_48,HS_49,0,0,0,0
Line,PS_HSL,37489719.96,2399094.564,37489724.06,2399093.278,37489722.01,2399093.921,,HS_771,HS_49,0,0,0,0
Line,PS_HSL,37489559.3,2399208.237,37489546.94,2399196.983,37489553.12,2399202.61,49,HS_105,HS_104,0,0,0,0
Line,PS_HSL,37489547.89,2399195.1,37489546.94,2399196.983,37489547.42,2399196.042,,HS_793,HS_104,7.45E-09,0,0,0
Line,PS_HSL,37489544.4,2399201.877,37489546.94,2399196.983,37489545.67,2399199.43,50,HS_794,HS_104,0,0,0,0
Line,PS_HSL,37489560.65,2399206.81,37489559.3,2399208.237,37489559.97,2399207.524,,HS_795,HS_105,0,0,0,0
Line,PS_HSL,37489555.57,2399212.371,37489559.3,2399208.237,37489557.43,2399210.304,51,HS_809,HS_105,0,0,0,0
Line,PS_HSL,37489564.36,2399214.276,37489562.88,2399215.658,37489563.62,2399214.967,,HS_153,HS_157,0,0,0,0
Line,PS_HSL,37489560.9,2399217.495,37489562.88,2399215.658,37489561.89,2399216.577,,HS_154,HS_157,0,0,0,0
Line,PS_HSL,37489573.98,2399226.833,37489571.72,2399228.126,37489572.85,2399227.48,,HS_155,HS_158,0,0,0,0
Line,PS_HSL,37489569.95,2399229.004,37489571.72,2399228.126,37489570.84,2399228.565,,HS_156,HS_158,0,0,0,0
Line,PS_HSL,37489562.88,2399215.658,37489571.72,2399228.126,37489567.3,2399221.892,52,HS_157,HS_158,0,0,0,0
Line,PS_HSL,37489571.72,2399228.126,37489575.92,2399236.419,37489573.82,2399232.273,53,HS_158,HS_159,0,0,0,0
Line,PS_HSL,37489575.92,2399236.419,37489590.18,2399257.947,37489583.05,2399247.183,54,HS_159,HS_165,0,0,0,0
Line,PS_HSL,37489578.82,2399235.411,37489575.92,2399236.419,37489577.37,2399235.915,,HS_160,HS_159,0,0,0,0
Line,PS_HSL,37489573.64,2399237.457,37489575.92,2399236.419,37489574.78,2399236.938,,HS_161,HS_159,0,0,0,0
Line,PS_HSL,37489592.4,2399224.054,37489575.92,2399236.419,37489584.16,2399230.237,55,HS_162,HS_159,0,0,0,0
Line,PS_HSL,37489592.1,2399256.06,37489590.18,2399257.947,37489591.14,2399257.004,,HS_163,HS_165,0,0,0,0
Line,PS_HSL,37489587.94,2399260.829,37489590.18,2399257.947,37489589.06,2399259.388,,HS_164,HS_165,0,0,0,0
Line,PS_HSL,37489051.76,2399967.74,37489055.16,2399973.373,37489053.46,2399970.557,56,HS_6,HS_385,0,0,0,0
Line,PS_HSL,37488805.71,2399946.428,37488824.39,2399940.684,37488815.05,2399943.556,57,HS_8,HS_7,0,0,0,0
Line,PS_HSL,37488821.78,2399945.821,37488824.39,2399940.684,37488823.08,2399943.253,58,HS_9,HS_7,0,0,0,0
Line,PS_HSL,37488800.99,2399950.44,37488805.71,2399946.428,37488803.35,2399948.434,59,HS_738,HS_8,7.45E-09,0,0,0
Line,PS_HSL,37488802.03,2399978.675,37488821.78,2399945.821,37488811.91,2399962.248,60,HS_10,HS_9,0,0,0,0
Line,PS_HSL,37488774.48,2400018.141,37488802.03,2399978.675,37488788.26,2399998.408,61,HS_11,HS_10,0,0,0,0
Line,PS_HSL,37488751.72,2400051.539,37488774.48,2400018.141,37488763.1,2400034.84,62,HS_12,HS_11,0,0,0,0
Line,PS_HSL,37489465.26,2398616.468,37489465.27,2398612.465,37489465.26,2398614.467,,HS_324,HS_321,0,0,0,0
Line,PS_HSL,37489493.9,2398612.528,37489465.27,2398612.465,37489479.58,2398612.497,63,HS_325,HS_321,0,0,0,0
Line,PS_HSL,37489494.2,2398616.452,37489493.9,2398612.528,37489494.05,2398614.49,,HS_326,HS_325,0,0,0,0
Line,PS_HSL,37489523.74,2398612.368,37489493.9,2398612.528,37489508.82,2398612.448,64,HS_327,HS_325,0,0,0,0
Line,PS_HSL,37489493.78,2398610.923,37489493.9,2398612.528,37489493.84,2398611.726,,HS_328,HS_325,0,0,0,0
Line,PS_HSL,37489523.72,2398610.897,37489523.74,2398612.368,37489523.73,2398611.633,,HS_329,HS_327,0,0,0,0
Line,PS_HSL,37489554.02,2398612.275,37489523.74,2398612.368,37489538.88,2398612.322,65,HS_330,HS_327,0,0,0,0
Line,PS_HSL,37489523.57,2398616.418,37489523.74,2398612.368,37489523.65,2398614.393,,HS_331,HS_327,0,0,0,0
Line,PS_HSL,37489553.87,2398616.397,37489554.02,2398612.275,37489553.94,2398614.336,,HS_332,HS_330,0,0,0,0
Line,PS_HSL,37489554.58,2398609.087,37489554.02,2398612.275,37489554.3,2398610.681,,HS_333,HS_330,0,0,0,0
Line,PS_HSL,37489555.21,2398607.516,37489554.58,2398609.087,37489554.89,2398608.302,,HS_857,HS_333,0,0,0,0
Line,PS_HSL,37489557.29,2398621.242,37489560.67,2398618.579,37489558.98,2398619.911,,HS_334,HS_236,0,0,0,0
Line,PS_HSL,37489560.1,2398630.203,37489560.67,2398618.579,37489560.38,2398624.391,66,HS_335,HS_236,0,0,0,0
Line,PS_HSL,37489562.69,2398621.722,37489557.29,2398621.242,37489559.99,2398621.482,67,HS_336,HS_334,0,0,0,0
Line,PS_HSL,37489559.83,2398638.695,37489560.1,2398630.203,37489559.96,2398634.449,68,HS_337,HS_335,0,0,0,0
Line,PS_HSL,37489559.95,2398655.656,37489559.83,2398638.695,37489559.89,2398647.176,69,HS_338,HS_337,0,0,0,0
Line,PS_HSL,37489562.97,2398639.896,37489559.83,2398638.695,37489561.4,2398639.296,,HS_339,HS_337,0,0,0,0
Line,PS_HSL,37489557.31,2398640.638,37489562.97,2398639.896,37489560.14,2398640.267,70,HS_340,HS_339,0,0,0,0
Line,PS_HSL,37489562.85,2398653.37,37489559.95,2398655.656,37489561.4,2398654.513,,HS_341,HS_338,0,0,0,0
Line,PS_HSL,37489557.34,2398658.69,37489559.95,2398655.656,37489558.65,2398657.173,,HS_342,HS_338,0,0,0,0
Line,PS_HSL,37489589.77,2398612.099,37489554.02,2398612.275,37489571.9,2398612.187,71,HS_343,HS_330,0,0,0,0
Line,PS_HSL,37489624.6,2398612.271,37489589.77,2398612.099,37489607.18,2398612.185,72,HS_344,HS_343,0,0,0,0
Line,PS_HSL,37489642.89,2398612.118,37489624.6,2398612.271,37489633.74,2398612.195,73,HS_345,HS_344,0,0,0,0
Line,PS_HSL,37489627.17,2398609.64,37489624.6,2398612.271,37489625.88,2398610.956,,HS_346,HS_344,0,0,0,0
Line,PS_HSL,37489627.53,2398616.111,37489624.6,2398612.271,37489626.06,2398614.191,,HS_347,HS_344,0,0,0,0
Line,PS_HSL,37489643.05,2398610.621,37489642.89,2398612.118,37489642.97,2398611.37,,HS_348,HS_345,0,0,0,0
Line,PS_HSL,37489642.7,2398616.345,37489642.89,2398612.118,37489642.79,2398614.232,,HS_858,HS_345,0,0,0,0
Line,PS_HSL,37489624.5,2398623.979,37489624.6,2398612.271,37489624.55,2398618.125,74,HS_349,HS_344,0,0,0,0
Line,PS_HSL,37489622.51,2398620.277,37489624.5,2398623.979,37489623.5,2398622.128,,HS_350,HS_349,0,0,0,0
Line,PS_HSL,37489629.37,2398620.749,37489624.5,2398623.979,37489626.94,2398622.364,75,HS_351,HS_349,0,0,0,0
Line,PS_HSL,37489624.88,2398644.571,37489624.5,2398623.979,37489624.69,2398634.275,76,HS_352,HS_349,0,0,0,0
