Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32006,"c(37488810.580259, 2396601.53949942)",37488810.58,2396601.539
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32007,"c(37488790.4792224, 2396602.00620286)",37488790.48,2396602.006
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32008,"c(37488776.7534784, 2396603.0572164)",37488776.75,2396603.057
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32009,"c(37488798.0374224, 2396609.01603304)",37488798.04,2396609.016
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32010,"c(37489698.1547379, 2397289.12199359)",37489698.15,2397289.122
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32011,"c(37489708.6877645, 2397277.57521887)",37489708.69,2397277.575
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32012,"c(37489711.9348886, 2397327.97418417)",37489711.93,2397327.974
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32013,"c(37489424.7345565, 2397893.05904759)",37489424.73,2397893.059
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32014,"c(37489446.4760838, 2397888.12389831)",37489446.48,2397888.124
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32015,"c(37489426.5199542, 2397882.78373162)",37489426.52,2397882.784
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32016,"c(37489426.3144718, 2397864.86669416)",37489426.31,2397864.867
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32017,"c(37489426.3469796, 2397833.70301345)",37489426.35,2397833.703
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32018,"c(37489497.4025919, 2397884.11391346)",37489497.4,2397884.114
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32019,"c(37489482.3256924, 2397888.03239374)",37489482.33,2397888.032
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32020,"c(37489513.3070926, 2397886.7648827)",37489513.31,2397886.765
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32021,"c(37489542.510393, 2397881.2507527)",37489542.51,2397881.251
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32022,"c(37489571.8836472, 2397872.01798968)",37489571.88,2397872.018
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32023,"c(37489588.8684225, 2397869.36856447)",37489588.87,2397869.369
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32024,"c(37489592.7012823, 2397864.94110306)",37489592.7,2397864.941
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32025,"c(37489603.0989025, 2397861.40874169)",37489603.1,2397861.409
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32026,"c(37489624.6051634, 2397850.21707533)",37489624.61,2397850.217
Text,PS_YSLText,120,0,PVC  DN1000,CDShxStyle,PVC  DN1000,32027,"c(37489618.4458785, 2397856.15772675)",37489618.45,2397856.158
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32028,"c(37489641.7787219, 2397852.57805178)",37489641.78,2397852.578
