Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_HSLtext,2,0,PVC  DN400,CDShxStyle,PVC  DN400,51615,"c(37489305.7103052, 2399113.23374255)",37489305.7103052,2399113.23374255
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51616,"c(37489627.3993839, 2398668.055175)",37489627.3993839,2398668.055175
Text,PS_HSLtext,2,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,51617,"c(37488380.9872892, 2399727.2504569)",37488380.9872892,2399727.2504569
Text,PS_HSLtext,2,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,51618,"c(37488422.4197977, 2399712.13420424)",37488422.4197977,2399712.13420424
Text,PS_HSLtext,2,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,51619,"c(37488471.779138, 2399697.47284592)",37488471.779138,2399697.47284592
Text,PS_HSLtext,2,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,51620,"c(37488518.7304333, 2399718.41497686)",37488518.7304333,2399718.41497686
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51621,"c(37489800.2485341, 2399265.08598313)",37489800.2485341,2399265.08598313
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51622,"c(37489596.2680894, 2399213.17024852)",37489596.2680894,2399213.17024852
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51623,"c(37489628.789839, 2399167.43723875)",37489628.789839,2399167.43723875
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51624,"c(37489648.4751338, 2399158.83830507)",37489648.4751338,2399158.83830507
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51625,"c(37489658.2276813, 2399149.11035427)",37489658.2276813,2399149.11035427
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51626,"c(37489653.4522864, 2397224.19107407)",37489653.4522864,2397224.19107407
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51627,"c(37489645.9251809, 2397226.1819099)",37489645.9251809,2397226.1819099
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51628,"c(37489645.7811356, 2397190.12960496)",37489645.7811356,2397190.12960496
Text,PS_HSLtext,2,0,PVC  DN300,CDShxStyle,PVC  DN300,51629,"c(37489636.0164467, 2397191.90562834)",37489636.0164467,2397191.90562834
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51630,"c(37489687.4782876, 2399172.06840977)",37489687.4782876,2399172.06840977
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51631,"c(37489723.8233699, 2399170.28188111)",37489723.8233699,2399170.28188111
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51632,"c(37489758.1870808, 2399168.90825718)",37489758.1870808,2399168.90825718
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51633,"c(37490367.9685134, 2399255.56731033)",37490367.9685134,2399255.56731033
Text,PS_HSLtext,2,0,PVC  DN600,CDShxStyle,PVC  DN600,51634,"c(37490347.8360105, 2399244.01899884)",37490347.8360105,2399244.01899884
