Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,47539,"c(37490467.4285652, 2397123.85548989)",37490467.4285652,2397123.85548989
Text,PS_WSLText,40,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,47540,"c(37490694.5483743, 2397088.05250273)",37490694.5483743,2397088.05250273
Text,PS_WSLText,40,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,47541,"c(37491082.1123522, 2395875.44232217)",37491082.1123522,2395875.44232217
Text,PS_WSLText,40,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,47542,"c(37493250.3305351, 2396285.43680089)",37493250.3305351,2396285.43680089
Text,PS_WSLText,40,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,47543,"c(37493251.7312387, 2396285.00458464)",37493251.7312387,2396285.00458464
Text,PS_WSLText,40,0,PE  DN400,CDShxStyle,PE  DN400,47544,"c(37493089.0800802, 2396403.01507792)",37493089.0800802,2396403.01507792
Text,PS_WSLText,40,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,47545,"c(37493089.2732589, 2396308.39058884)",37493089.2732589,2396308.39058884
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47546,"c(37490635.1173906, 2398231.85896023)",37490635.1173906,2398231.85896023
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,47547,"c(37490511.0464983, 2398227.53430955)",37490511.0464983,2398227.53430955
Text,PS_WSLText,40,0,Ì≈  DN800X800,CDShxStyle,Ì≈  DN800X800,47548,"c(37490463.8019757, 2398206.61692617)",37490463.8019757,2398206.61692617
Text,PS_WSLText,40,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,47549,"c(37491336.3819167, 2398116.35662612)",37491336.3819167,2398116.35662612
Text,PS_WSLText,40,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,47550,"c(37491337.9616718, 2397949.8324912)",37491337.9616718,2397949.8324912
Text,PS_WSLText,40,0,PVC  DN100,CDShxStyle,PVC  DN100,47551,"c(37492405.7934077, 2396127.64777771)",37492405.7934077,2396127.64777771
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47552,"c(37490348.4438592, 2398170.66044804)",37490348.4438592,2398170.66044804
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47553,"c(37490345.63392, 2398140.48836726)",37490345.63392,2398140.48836726
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47554,"c(37490340.6872155, 2398112.3929489)",37490340.6872155,2398112.3929489
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47555,"c(37491902.9632301, 2397495.95469831)",37491902.9632301,2397495.95469831
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47556,"c(37491911.1035208, 2397493.70070367)",37491911.1035208,2397493.70070367
Text,PS_WSLText,40,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,47557,"c(37490059.0358995, 2395818.2769243)",37490059.0358995,2395818.2769243
Text,PS_WSLText,40,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,47558,"c(37491697.7782569, 2397108.21453554)",37491697.7782569,2397108.21453554
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47559,"c(37491704.697222, 2397099.13079172)",37491704.697222,2397099.13079172
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47560,"c(37491605.3110138, 2397091.14231081)",37491605.3110138,2397091.14231081
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47561,"c(37491581.0092337, 2397080.50718821)",37491581.0092337,2397080.50718821
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47562,"c(37491588.9107726, 2397094.60297163)",37491588.9107726,2397094.60297163
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47563,"c(37491592.7387463, 2397089.6589725)",37491592.7387463,2397089.6589725
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47564,"c(37491658.7281077, 2397100.39348545)",37491658.7281077,2397100.39348545
Text,PS_WSLText,40,0,Ì≈  DN1000,CDShxStyle,Ì≈  DN1000,47565,"c(37491616.1694455, 2397091.25320291)",37491616.1694455,2397091.25320291
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47566,"c(37491437.212935, 2396861.06777302)",37491437.212935,2396861.06777302
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47567,"c(37491432.1122136, 2396971.42960522)",37491432.1122136,2396971.42960522
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47568,"c(37491424.0467261, 2396992.70276588)",37491424.0467261,2396992.70276588
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,47569,"c(37491399.1094271, 2397000.88105087)",37491399.1094271,2397000.88105087
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47570,"c(37491413.580588, 2397009.10150607)",37491413.580588,2397009.10150607
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47571,"c(37491397.6084656, 2397029.54116439)",37491397.6084656,2397029.54116439
Text,PS_WSLText,40,0,PE  DN150,CDShxStyle,PE  DN150,47572,"c(37491408.993909, 2397021.15103047)",37491408.993909,2397021.15103047
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47573,"c(37491375.4173962, 2397055.07933238)",37491375.4173962,2397055.07933238
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47574,"c(37491353.5395912, 2397079.74448553)",37491353.5395912,2397079.74448553
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47575,"c(37491338.733541, 2397104.64384635)",37491338.733541,2397104.64384635
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47576,"c(37491332.4416119, 2397132.56380219)",37491332.4416119,2397132.56380219
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47577,"c(37491329.6049038, 2397161.74395761)",37491329.6049038,2397161.74395761
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47578,"c(37491335.4428087, 2397178.08200403)",37491335.4428087,2397178.08200403
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47579,"c(37491309.5099907, 2397177.68200102)",37491309.5099907,2397177.68200102
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47580,"c(37491283.0418924, 2397180.0539919)",37491283.0418924,2397180.0539919
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47581,"c(37491033.1189624, 2397278.24173837)",37491033.1189624,2397278.24173837
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47582,"c(37491018.8256265, 2397282.48724373)",37491018.8256265,2397282.48724373
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47583,"c(37491005.0580356, 2397288.85720085)",37491005.0580356,2397288.85720085
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47584,"c(37490862.1259049, 2397386.68087272)",37490862.1259049,2397386.68087272
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47585,"c(37490701.2434568, 2397414.77290923)",37490701.2434568,2397414.77290923
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47586,"c(37490670.2255904, 2397404.90527053)",37490670.2255904,2397404.90527053
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47587,"c(37490600.6026519, 2397347.08005863)",37490600.6026519,2397347.08005863
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47588,"c(37490579.8848853, 2397325.42760824)",37490579.8848853,2397325.42760824
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47589,"c(37490381.4356755, 2397286.6430331)",37490381.4356755,2397286.6430331
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47590,"c(37490263.1195157, 2397266.5666528)",37490263.1195157,2397266.5666528
Text,PS_WSLText,40,0,PE  DN400,CDShxStyle,PE  DN400,47591,"c(37490256.0544032, 2397273.75537512)",37490256.0544032,2397273.75537512
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47592,"c(37490247.142943, 2397265.7729372)",37490247.142943,2397265.7729372
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47593,"c(37490229.5953509, 2397255.91976543)",37490229.5953509,2397255.91976543
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47594,"c(37491269.983288, 2397183.37085523)",37491269.983288,2397183.37085523
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47595,"c(37491230.4102378, 2397185.76371888)",37491230.4102378,2397185.76371888
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47596,"c(37491188.8591039, 2397188.78878582)",37491188.8591039,2397188.78878582
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47597,"c(37491177.48554, 2397192.82346634)",37491177.48554,2397192.82346634
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47598,"c(37491170.8747936, 2397204.05168981)",37491170.8747936,2397204.05168981
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47599,"c(37491163.6170137, 2397222.47597055)",37491163.6170137,2397222.47597055
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47600,"c(37491096.2843433, 2397275.49055358)",37491096.2843433,2397275.49055358
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47601,"c(37491071.9999405, 2397276.4423402)",37491071.9999405,2397276.4423402
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47602,"c(37491051.14713, 2397276.73190115)",37491051.14713,2397276.73190115
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47603,"c(37490986.9889749, 2397294.08348866)",37490986.9889749,2397294.08348866
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47604,"c(37490962.7881961, 2397292.75274772)",37490962.7881961,2397292.75274772
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47605,"c(37490941.3248316, 2397289.86603588)",37490941.3248316,2397289.86603588
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47606,"c(37490928.8096954, 2397292.02897799)",37490928.8096954,2397292.02897799
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47607,"c(37490915.6410614, 2397301.96130931)",37490915.6410614,2397301.96130931
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47608,"c(37490904.4865424, 2397326.3938163)",37490904.4865424,2397326.3938163
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47609,"c(37490899.0771642, 2397347.06945327)",37490899.0771642,2397347.06945327
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47610,"c(37490888.0106933, 2397359.08598094)",37490888.0106933,2397359.08598094
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47611,"c(37490874.1275768, 2397371.42045998)",37490874.1275768,2397371.42045998
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47612,"c(37490870.5938213, 2397380.37955864)",37490870.5938213,2397380.37955864
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47613,"c(37490851.0887133, 2397385.27662076)",37490851.0887133,2397385.27662076
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47614,"c(37490835.9097125, 2397383.10590023)",37490835.9097125,2397383.10590023
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47615,"c(37490815.3381619, 2397387.51348623)",37490815.3381619,2397387.51348623
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47616,"c(37490799.9162102, 2397397.12432453)",37490799.9162102,2397397.12432453
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47617,"c(37490783.1804927, 2397410.73861216)",37490783.1804927,2397410.73861216
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47618,"c(37490754.1570069, 2397416.63852522)",37490754.1570069,2397416.63852522
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47619,"c(37490731.9613669, 2397411.61496666)",37490731.9613669,2397411.61496666
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47620,"c(37490720.2859117, 2397409.90869011)",37490720.2859117,2397409.90869011
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47621,"c(37490643.8404527, 2397381.43243469)",37490643.8404527,2397381.43243469
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47622,"c(37490633.8966284, 2397365.55200607)",37490633.8966284,2397365.55200607
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47623,"c(37490627.8570677, 2397356.99013179)",37490627.8570677,2397356.99013179
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47624,"c(37490618.3345786, 2397355.71477293)",37490618.3345786,2397355.71477293
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47625,"c(37490610.9953242, 2397354.21002017)",37490610.9953242,2397354.21002017
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47626,"c(37490562.2757635, 2397303.41088562)",37490562.2757635,2397303.41088562
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47627,"c(37490554.3997001, 2397295.93645313)",37490554.3997001,2397295.93645313
